LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002946727-0001-2,SONG DENH LU/ SAY MUI SEC,THE CRAWFISH CO.,13213 GLADSTONE AVENUE,SYLMAR,91342-3116,13213 GLADSTONE 91342-3116,,,,722110,Full-service restaurants,7,11/30/2016,,POINT (-118.4286 34.3109)
0002946793-0001-0,DAVID HAN,,11000 WILSHIRE BLVD,LOS ANGELES,90024-3602,11000 WILSHIRE 90024-3602,,,,722110,Full-service restaurants,0,01/03/2017,,POINT (-118.449 34.0567)
0002946804-0001-0,BIG POZI ON VENTURA LLC,POZI'S FRESH GRILL,18663 VENTURA BLVD   #122,TARZANA,91356-4162,18663 VENTURA 91356-4162,,,,722110,Full-service restaurants,3,01/01/2008,,POINT (-118.5402 34.1708)
0002946882-0001-0,AMRIT RESTAURANT GROUP INC.,,16861 VENTURA BLVD   SUITE #310,ENCINO,91436-1774,16861 VENTURA 91436-1774,23622 CALABASAS ROAD      #331,CALABASAS,91302-1549,722110,Full-service restaurants,4,10/22/2015,,POINT (-118.5007 34.1595)
0002946959-0001-9,AT ICON LLC,,9029 DE SOTO AVENUE,CANOGA PARK,91304-1968,9029 DE SOTO 91304-1968,,,,722110,Full-service restaurants,3,11/09/2016,,POINT (-118.5888 34.2345)
0002947126-0001-6,"MPUS, INC",M PIZZA,3900 WILSHIRE BLVD,LOS ANGELES,90010-3303,3900 WILSHIRE 90010-3303,3881 WILSHIRE BLVD,LOS ANGELES,90010-3202,722110,Full-service restaurants,10,01/01/2017,,POINT (-118.3114 34.0612)
0002947294-0001-1,SHANDIZ CUISINE RESTAURANT INC,SHANDIZ CRUSINE RESTAURANT,745 E VALLEY BLVD,SAN GABRIEL,91776-3549,745 VALLEY 91776-3549,,,,722110,Full-service restaurants,0,09/02/2016,,POINT (-118.0912 34.0802)
0002947353-0001-0,JOAQUIN ALBERTO MENDEZ,EL ZARAPE MELROSE,4809 MELROSE AVENUE,LOS ANGELES,90029-3729,4809 MELROSE 90029-3729,9224 ARLETA AVENUE,ARLETA,91331-4701,722110,Full-service restaurants,13,01/01/2017,,POINT (-118.3055 34.0837)
0002947652-0001-0,POKE RAINBOW,,15355 SHERMAN WAY   UNIT #R,VAN NUYS,91406-4200,15355 SHERMAN 91406-4200,6334 WYNNE AVENUE,TARZANA,91335-7055,722110,Full-service restaurants,6,12/09/2016,,POINT (-118.468 34.2018)
0002947670-0001-8,KOPE POKI INC,KOPE POKI,1903 HYPERION AVENUE,LOS ANGELES,90027-4739,1903 HYPERION 90027-4739,,,,722110,Full-service restaurants,4,12/19/2016,,POINT (-118.2758 34.0975)
0002948005-0001-3,JORDAN NAJUM & ASAF SHASHA,SKEEVS,6302 NAGLE AVENUE,VAN NUYS,91401-2410,6302 NAGLE 91401-2410,,,,722110,Full-service restaurants,2,01/01/2017,,POINT (-118.4233 34.185)
0002948542-0001-5,JIN & JUNG KITCHEN INC,CORNER GRILL,6585 FOOTHILL BLVD,TUJUNGA,91042-2728,6585 FOOTHILL 91042-2728,,,,722110,Full-service restaurants,7,12/19/2016,,POINT (-118.2753 34.2467)
0002948791-0001-5,88 HACHI HACHI CORPORATION,KATSU-YA DELIVERY,11928 VENTURA BLVD,STUDIO CITY,91604-2606,11928 VENTURA 91604-2606,15819 STAGG STREET,VAN NUYS,91406-1922,722110,Full-service restaurants,4,12/13/2016,,POINT (-118.3919 34.1429)
0002949041-0001-7,RUTTS HAWAIIAN CAFE INC,,11707 WASHINGTON PLACE,LOS ANGELES,90066-4601,11707 WASHINGTON 90066-4601,21157 TRIGGER LANE,DIAMOND BAR,91765-3461,722110,Full-service restaurants,11,01/02/2017,,POINT (-118.4216 34.0045)
0002949463-0001-6,PROSSIMO LLC,COSA BUONA,2100 W SUNSET BLVD,LOS ANGELES,90026-3125,2100 SUNSET 90026-3125,1651 VIRGINIA ROAD,LOS ANGELES,90019-5935,722110,Full-service restaurants,13,01/30/2017,,POINT (-118.2639 34.0773)
0002949486-0001-7,L A GASTRONOMY INC,L.A. GASTRONOMY,20 WASHINGTON BLVD,MARINA DEL REY,90292-5124,20 WASHINGTON 90292-5124,,,,722110,Full-service restaurants,11,01/01/2017,,POINT (-118.4661 33.9792)
0002949582-0001-7,ORIGINAL LA ADELITA FOOD CO 2 LLC,,5812 SANTA MONICA BLVD,LOS ANGELES,90038-2002,5812 SANTA MONICA 90038-2002,9619 MARSEILLES COURT,BAKERSFIELD,93314-9368,722110,Full-service restaurants,13,07/01/2017,,POINT (-118.3162 34.0905)
0002949717-0001-1,PAELLA CORNER LLC,LA PAELLA,476 S SAN VICENTE BLVD,LOS ANGELES,90048-4107,476 SAN VICENTE 90048-4107,,,,722110,Full-service restaurants,5,12/16/2016,,POINT (-118.3748 34.0694)
0002950213-0001-2,HA SUN SAENG INC,,1147 S WESTERN AVENUE,LOS ANGELES,90006-2314,1147 WESTERN 90006-2314,,,,722110,Full-service restaurants,10,01/01/2017,,POINT (-118.3095 34.0496)
0002950279-0001-1,LA COCINA DE PAQUITA CORP,LA COCINA DE PAQUITA,441 S GAFFEY STREET,SAN PEDRO,90731-2435,441 GAFFEY 90731-2435,,,,722110,Full-service restaurants,15,12/06/2016,,POINT (-118.2926 33.7398)
0002950366-0001-2,ATHENIAN PLACE INC,PAOLIS ITALIAN KITCHEN,21020 VENTURA BLVD,WOODLAND HILLS,91364-2201,21020 VENTURA 91364-2201,,,,722110,Full-service restaurants,3,11/21/2016,,POINT (-118.5915 34.1664)
0002950571-0001-0,SOULFUL LLC,PICCOLO RITROVO,8428 PERSHING DRIVE,PLAYA DEL REY,90293-7844,8428 PERSHING 90293-7844,7932 ALTAVAN AVENUE,LOS ANGELES,90045-2522,722110,Full-service restaurants,11,01/01/2017,,POINT (-118.4423 33.9567)
0002950684-0001-5,HIEU N TAN,KTOWN PHO KOBE,974 S WESTERN AVENUE,LOS ANGELES,90006-1035,974 WESTERN 90006-1035,,,,722110,Full-service restaurants,10,01/01/2017,,POINT (-118.309 34.0535)
0002950988-0001-8,BLU JAM CAFE TARZANA,,18700 VENTURA BLVD   UNIT #140,TARZANA,91356-6304,18700 VENTURA 91356-6304,14724 VENTURA BLVD   SUITE #806,SHERMAN OAKS,91403-3508,722110,Full-service restaurants,3,01/10/2017,,POINT (-118.5412 34.1703)
0002951522-0001-3,ISO GROUP INC,161 STREET PIZZERIA,3252 CAHUENGA BLVD W,LOS ANGELES,90068-1302,3252 CAHUENGA 90068-1302,,,,722110,Full-service restaurants,4,01/01/2017,,POINT (-118.3488 34.13)
0002951715-0001-0,PICO PRODUCTIONS,EL CID,4212 W SUNSET BLVD,LOS ANGELES,90029-2110,4212 SUNSET 90029-2110,1216 E OJAI AVENUE,OJAI,93023-3015,722110,Full-service restaurants,13,01/03/2017,,POINT (-118.2824 34.0939)
0002951749-0001-9,SINALOA MEXICAN FOOD INC,,1647 W CARSON STREET,TORRANCE,90501-3846,1647 CARSON 90501-3846,,,,722110,Full-service restaurants,15,10/11/2016,,POINT (-118.3082 33.8317)
0002952007-0001-5,SHISH MEDITERRANEAN CUISINE,,11052 VENTURA BLVD,STUDIO CITY,91604-3546,11052 VENTURA 91604-3546,11052 VENTURA BLVD,STUDIO CITY,91604-3546,722110,Full-service restaurants,4,08/13/2015,,POINT (-118.372 34.1407)
0002952061-0001-0,"PRESTOGRILL,LLC",PRESTO GRILL,830 MAPLE AVENUE,LOS ANGELES,90014-2204,830 MAPLE 90014-2204,830 MAPLE AVENUE   FLOOR,LOS ANGELES,90014-2204,722110,Full-service restaurants,14,11/01/2016,,POINT (-118.2516 34.0403)
0002952240-0001-4,DANIELA VALLE,LA FONDITA COMIDA MEXICANA,1901 S ALAMEDA STREET #115,LOS ANGELES,90058-1037,1901 ALAMEDA 90058-1037,,,,722110,Full-service restaurants,9,01/02/2017,,POINT (-118.24 34.0195)
0002952422-0001-2,RBC JAPAN INTERNATIONAL INC,PASTA E PASTA BY ALLEGRO,432 E 2ND STREET,LOS ANGELES,90012-4209,432 2ND 90012-4209,,,,722110,Full-service restaurants,14,01/20/2017,,POINT (-118.2388 34.0469)
0002952637-0001-5,HAPPY TOGETHER INC,TOFU YA,2021 SAWTELLE BLVD,LOS ANGELES,90025-6229,2021 SAWTELLE 90025-6229,,,,722110,Full-service restaurants,11,12/21/2016,,POINT (-118.4434 34.0402)
0002952776-0001-3,EATALY CENTURY CITY LLC,EATALY,10250 SANTA MONICA BLVD   SUITE #2705,LOS ANGELES,90067-6501,10250 SANTA MONICA 90067-6501,43 W 23RD STREET FLOOR #7,NEW YORK,10010-4218,722511,Full-Service Restaurants,5,04/01/2017,,POINT (-118.4198 34.06)
0002952967-0001-1,V C FOOD SERCICE INC.,PIZZERIA VIVOLI,7994 W SUNSET BLVD,LOS ANGELES,90046-3307,7994 SUNSET 90046-3307,1520 N HAYWORTH AVENUE APT #11,LOS ANGELES,90046-3355,722110,Full-service restaurants,13,01/01/2017,,POINT (-118.3642 34.0977)
0002952971-0001-7,"KRE ENTERPRISES, INC.",BLACKSMITHS,117 WINSTON STREET,LOS ANGELES,90013-1389,117 WINSTON 90013-1389,,,,722110,Full-service restaurants,14,03/01/2017,,POINT (-118.2471 34.0471)
0002953075-0001-9,PTR MANAGEMENT INC,HIKARI SUSHI,21230 DEVONSHIRE STREET,CHATSWORTH,91311-2318,21230 DEVONSHIRE 91311-2318,1069 SPRING OAK WAY,CHINO HILLS,91709-2257,722110,Full-service restaurants,12,01/04/2017,,POINT (-118.5949 34.2569)
0002953200-0001-7,SHU YU CHANG,,16952 PARTHENIA STREET,NORTHRIDGE,91343-4506,16952 PARTHENIA 91343-4506,,,,722110,Full-service restaurants,12,01/05/2017,,POINT (-118.5018 34.2278)
0002953216-0001-8,DOMITILA CERVANTES GUZMAN,JT CAFE,231 VENICE BLVD,LOS ANGELES,90015-3533,231 VENICE 90015-3533,,,,722110,Full-service restaurants,14,01/05/2017,,POINT (-118.2655 34.0355)
0002953521-0001-3,CLOVER & CO,WHEALTHY,6801 HOLLYWOOD BLVD   UNIT #3A-321C,LOS ANGELES,90028-6136,6801 HOLLYWOOD 90028-6136,18200 VON KARMAN AVENUE   SUITE #700,IRVINE,92612-7155,722110,Full-service restaurants,13,01/15/2017,,POINT (-118.3395 34.1026)
0002953692-0001-1,CALIXTA VILLANUEVA,SABOR NICARAGUENSE RESTAURANT,1927 S WESTERN AVENUE #1,LOS ANGELES,90018-1557,1927 WESTERN 90018-1557,,,,722110,Full-service restaurants,10,01/06/2017,,POINT (-118.3094 34.039)
0002953820-0001-3,"DIGNIFIED FOODS INTERNATIONAL, LLC",SPIREWORKS,4945 EAGLE ROCK BLVD   UNIT #B,LOS ANGELES,90041-1906,4945 EAGLE ROCK 90041-1906,14320 VENTURA BLVD   SUITE #147,SHERMAN OAKS,91423-2717,722110,Full-service restaurants,14,01/21/2015,,POINT (-118.2153 34.1361)
0002953820-0002-1,"DIGNIFIED FOODS INTERNATIONAL, LLC",SPIREWORKS,1061 BROXTON AVENUE,LOS ANGELES,90024-2803,1061 BROXTON 90024-2803,,,,722110,Full-service restaurants,5,11/17/2016,,POINT (-118.4465 34.0613)
0002954209-0001-5,1071 GLENDON PARTNERS LLC,FELLOW,1071 GLENDON AVENUE,LOS ANGELES,90024-2907,1071 GLENDON 90024-2907,865 COMSTOCK AVENUE APT #9F,LOS ANGELES,90024-2584,722110,Full-service restaurants,5,05/01/2017,,POINT (-118.4446 34.0612)
0002954395-0001-8,LYC MANAGEMENT INC,HOT WOK CAFE,9135 RESEDA BLVD,NORTHRIDGE,91324-3051,9135 RESEDA 91324-3051,,,,722110,Full-service restaurants,12,01/10/2017,,POINT (-118.5362 34.2365)
0002954454-0001-7,SALT N PEPPA INC,,632 S HILL STREET,LOS ANGELES,90014-1701,632 HILL 90014-1701,,,,722110,Full-service restaurants,14,01/01/2017,,POINT (-118.2536 34.0466)
0002955217-0001-7,GOSHEN CUISINE,,2752 EL DORADO STREET,TORRANCE,90503-6077,2752 EL DORADO 90503-6077,,,,722110,Full-service restaurants,0,01/01/2017,,POINT (-118.3348 33.8341)
0002955233-0001-6,MARLE INC,LA PALMA BANQUET & LOUNGE,7560 WINNETKA AVENUE,WINNETKA,91306-2930,7560 WINNETKA 91306-2930,,,,722110,Full-service restaurants,3,01/11/2017,,POINT (-118.5706 34.2078)
0002955253-0001-3,POTLUCK SEVEN TWENTY LLC,,133 N BROADWAY SUITE #133,LOS ANGELES,90012-,133 BROADWAY 90012-,8391 BEVERLY BLVD   UNIT #126,LOS ANGELES,90048-2633,722110,Full-service restaurants,14,05/20/2015,,POINT (0 0)
0002956205-0001-1,NOW SERVING LP,,727 N BROADWAY SUITE #133,LOS ANGELES,90012-2889,727 BROADWAY 90012-2889,8391 BEVERLY BLVD   UNIT #126,LOS ANGELES,90048-2633,722110,Full-service restaurants,1,01/11/2017,,POINT (-118.2395 34.0614)
0002956263-0002-2,"CAVA MEZZE GRILL, LLC",CAVA MEZZE GRILL TOPANGA | CAVE MEZZE GRILL TOPANGA,6256 TOPANGA CANYON BLVD   SUITE #1280,WOODLAND HILLS,91367-2285,6256 TOPANGA CANYON 91367-2285,POST OFFICE BOX #1067,DECATUR,30031-1067,722110,Full-service restaurants,3,10/14/2015,,POINT (-118.6058 34.1842)
0002956263-0003-1,"CAVA MEZZE GRILL, LLC",CAVA MEZZE GRILL WESTWOOD,1073 BROXTON AVENUE,LOS ANGELES,90024-2803,1073 BROXTON 90024-2803,POST OFFICE BOX #1067,DECATUR,30031-1067,722110,Full-service restaurants,5,03/11/2016,,POINT (-118.4463 34.0611)
0002956263-0004-9,"CAVA MEZZE GRILL, LLC",CAVA MEZZE GRILL USC,3201 S HOOVER SUITE #1840,LOS ANGELES,90007-3555,3201 HOOVER 90007-3555,POST OFFICE BOX #1067,DECATUR,30031-1067,722110,Full-service restaurants,9,08/07/2017,,POINT (-118.2841 34.0264)
0002956263-0005-7,"CAVA MEZZE GRILL, LLC",CAVA #10174,20165 RINALDI STREET SUITE #160,PORTER RANCH,91326-4933,20165 Rinaldi 91326-4933,POST OFFICE BOX #1067,DECATUR,30031-1067,722110,Full-service restaurants,12,04/15/2022,,POINT (-118.5732 34.2751)
0002956263-0009-0,"CAVA MEZZE GRILL, LLC",CAVA,11265 VENTURA BLVD,STUDIO CITY,91604-3136,11265 VENTURA 91604-3136,708 CHURCH STREET,DECATUR,30030-2518,722110,Full-service restaurants,4,09/20/2024,,POINT (-118.3761 34.1413)
0002956267-0008-0,ARTISANAL BREWERS COLLECTIVE LLC,STALKING HORSE,10543 W PICO BLVD,LOS ANGELES,90064-2319,10543 PICO 90064-2319,8990 CLAYBECK AVENUE,SUN VALLEY,91352-2705,722110,Full-service restaurants,5,12/01/2017,,POINT (-118.4204 34.0447)
0002956267-0009-8,ARTISANAL BREWERS COLLECTIVE LLC,BLUEBIRD BRASSERIE,13730 VENTURA BLVD,SHERMAN OAKS,91423-3024,13730 VENTURA 91423-3024,8990 CLAYBECK AVENUE,SUN VALLEY,91352-2705,722110,Full-service restaurants,4,12/01/2017,,POINT (-118.4321 34.1479)
0002956267-0010-1,ARTISANAL BREWERS COLLECTIVE LLC,BROXTON,1099 WESTWOOD BLVD,LOS ANGELES,90024-2902,1099 WESTWOOD 90024-2902,8990 CLAYBECK AVENUE,SUN VALLEY,91352-2705,722110,Full-service restaurants,5,01/01/2018,,POINT (-118.4456 34.0608)
0002956267-0011-0,ARTISANAL BREWERS COLLECTIVE LLC,6TH & LA BREA,600 S LA BREA AVENUE,LOS ANGELES,90036-3580,600 LA BREA 90036-3580,8990 CLAYBECK AVENUE,SUN VALLEY,91352-2705,722110,Full-service restaurants,5,10/01/2018,,POINT (-118.3437 34.0647)
0002956493-0001-1,SUSHI GO LLC,ASAKUMA SUSHI DELIVERY,11769 SANTA MONICA BLVD,LOS ANGELES,90025-2843,11769 SANTA MONICA 90025-2843,,,,722110,Full-service restaurants,11,01/30/2017,,POINT (-118.458 34.0431)
0002957622-0001-5,CESAR EMILIO TOJ COLOCHO,,1001 E 52ND PLACE,LOS ANGELES,90011-4615,1001 52ND 90011-4615,,,,722110,Full-service restaurants,9,01/01/2017,,POINT (-118.2581 33.9953)
0002957705-0001-0,GEMELLI RESTUARANT PARTNERS LP,ROSSOBLU,1124 SAN JULIAN STREET,LOS ANGELES,90015-4438,1124 SAN JULIAN 90015-4438,1124 SAN JULIAN STREET,LOS ANGELES,90015-4438,722110,Full-service restaurants,14,03/15/2017,,POINT (-118.2533 34.0351)
0002957918-0001-3,SANDRA LUZ OLIVER VILLICANA,CHESSCOS COCINA MEXICANA,752 S VERMONT AVENUE,LOS ANGELES,90005-1520,752 VERMONT 90005-1520,,,,722110,Full-service restaurants,10,01/20/2017,,POINT (-118.2914 34.0584)
0002958119-0001-0,EUNSANG 75 INC,CASTLE BBQ,473 N WESTERN AVENUE #1,LOS ANGELES,90004-2609,473 WESTERN 90004-2609,,,,722110,Full-service restaurants,13,02/07/2017,,POINT (-118.3095 34.08)
0002958137-0001-8,MR BEN CHAMBLISS,SOUL 4 U,9450 S WESTERN AVENUE SUITE #B,LOS ANGELES,90047-3859,9450 WESTERN 90047-3859,4571 DON TOMASO DRIVE   #2,LOS ANGELES,90008-4137,722110,Full-service restaurants,8,11/14/2016,,POINT (-118.3086 33.9499)
0002958449-0001-5,SUNG SIK LIM,CAFFE CONCERTO,610 S SERRANO AVENUE,LOS ANGELES,90005-2847,610 SERRANO 90005-2847,3801 W 6TH STREET,LOS ANGELES,90020-3901,722110,Full-service restaurants,10,02/01/2017,,POINT (-118.3062 34.063)
0002958650-0001-4,RUBEN IBARRA,NATALIES RESTAURANT AND CATERING,818 W GARDENA BLVD,GARDENA,90247-4904,818 GARDENA 90247-4904,,,,722110,Full-service restaurants,15,01/01/2017,,POINT (-118.2899 33.8815)
0002958666-0001-5,"NAM SONG DEVELOPMENT, INC.",MEAT LOVE BBQ,1145 S WESTERN AVENUE,LOS ANGELES,90006-2314,1145 WESTERN 90006,1145 S WESTERN AVENUE,LOS ANGELES,90006-2314,722110,Full-service restaurants,10,02/05/2017,,POINT (-118.3092 34.0498)
0002958920-0001-8,STANLEY'S 83 INC,STANLEYS,4336 VAN NUYS BLVD,SHERMAN OAKS,91403-5532,4336 VAN NUYS 91403-5532,,,,722110,Full-service restaurants,4,01/25/2017,,POINT (-118.4487 34.1501)
0002959418-0001-7,"SSKH, INC.",CHAKAN SULLUNGTANG,543 S WESTERN AVENUE,LOS ANGELES,90020-4207,543 WESTERN 90020-4207,,,,722110,Full-service restaurants,10,02/15/2017,,POINT (-118.3092 34.0645)
0002959474-0001-1,CESAR ALVIS,PRIME ITALIAN RISTORANTE,14102 MAGNOLIA BLVD,SHERMAN OAKS,91423-1119,14102 MAGNOLIA 91423-1119,,,,722110,Full-service restaurants,4,01/26/2017,,POINT (-118.44 34.1648)
0002959564-0001-5,MR CHAU'S FOOD INC,PHO HOA VIETNAMESE RESTAURANT,818 N SPRING STREET SUITE #103,LOS ANGELES,90012-5822,818 SPRING 90012-5822,,,,722110,Full-service restaurants,1,11/01/2016,,POINT (-118.2364 34.0625)
0002959611-0001-1,GRAY TAVERN INC.,,10964 VENTURA BLVD,STUDIO CITY,91604-3340,10964 VENTURA 91604-3340,10964 VENTURA BLVD,STUDIO CITY,91604-3340,722110,Full-service restaurants,4,01/09/2017,,POINT (-118.3696 34.1399)
0002959770-0002-5,MIN HU,CENTURY HOME BAP,4120 W OLYMPIC BLVD #205,LOS ANGELES,90019-1941,4120 OLYMPIC 90019-1941,,,,722110,Full-service restaurants,10,06/01/2017,,POINT (-118.3227 34.054)
0002959898-0001-9,KITCHEN DELISH OF CALIFORNIA INC,,8424 FOOTHILL BLVD,SUNLAND,91040-2812,8424 FOOTHILL 91040-2812,,,,722110,Full-service restaurants,7,02/15/2017,,POINT (-118.3166 34.2594)
0002960212-0001-4,ERIKS 4 VIENTOS #2 CORPORATION,ERIK'S 4 VIENTOS #2,1412 S LORENA STREET,LOS ANGELES,90023-3705,1412 LORENA 90023-3705,,,,722110,Full-service restaurants,14,01/30/2017,,POINT (-118.2068 34.0182)
0002960668-0002-1,KIM SARANG INC,DA SARANG,2843 W OLYMPIC BLVD,LOS ANGELES,90006-2619,2843 OLYMPIC 90006-2619,,,,722110,Full-service restaurants,10,01/01/2018,,POINT (-118.2961 34.0529)
0002960731-0001-8,PROJECT A BLOC LLC,A BLOC,1539 FISHBURN AVENUE #18,LOS ANGELES,90063-2542,1539 FISHBURN 90063-2542,,,,722110,Full-service restaurants,0,03/01/2017,,POINT (-118.1913 34.0584)
0002961228-0001-2,AMERICAN HOSPITALITY,,1814 W SUNSET BLVD,LOS ANGELES,90026-3227,1814 SUNSET 90026,1814 W SUNSET BLVD,LOS ANGELES,90026-3227,722110,Full-service restaurants,13,01/06/2017,,POINT (-118.2598 34.0777)
0002961329-0001-5,KAZUKI SUSHI INC,,13212 SHERMAN WAY UNIT #1,NORTH HOLLYWOOD,91605-4688,13212 SHERMAN 91605-4688,,,,722110,Full-service restaurants,2,02/27/2017,,
0002961397-0001-1,GRECOSHOLLYWOOD LLC,GRECO'S NEW YORK PIZZERIA,6814 HOLLYWOOD BLVD,HOLLYWOOD,90028-6102,6814 HOLLYWOOD 90028-6102,,,,722110,Full-service restaurants,13,10/01/2016,,POINT (-118.3393 34.1013)
0002961611-0001-0,MAHAHENG INC,,301 S WESTERN AVENUE SUITE #209,LOS ANGELES,90020-3817,301 WESTERN 90020-3817,,,,722110,Full-service restaurants,10,04/01/2016,,POINT (-118.3095 34.0688)
0002962016-0001-1,THOUSAND RIVER,FORTUNE HOUSE,6031 SAN VICENTE BLVD,LOS ANGELES,90036-4434,6031 SAN VICENTE 90036-4434,,,,722110,Full-service restaurants,5,02/03/2017,,POINT (-118.3625 34.0583)
0002962318-0001-4,RAMONA CHAVEZ VALLE / LORENZO CHAVEZ,EL TACO MEXICANO,1300 E VERNON AVENUE,LOS ANGELES,90011-3723,1300 VERNON 90011-3723,,,,722110,Full-service restaurants,9,01/02/2017,,POINT (-118.2519 34.0037)
0002962344-0001-7,MIDNIGHT TURKEY CLUB,,2619 W SUNSET BLVD,LOS ANGELES,90026-3905,2619 SUNSET 90026-3905,606 PARKMAN AVENUE   APT #6,LOS ANGELES,90026-3773,722110,Full-service restaurants,13,07/21/2016,,POINT (-118.2699 34.0805)
0002962397-0001-9,HNDLGO INC,HNDLGO,928 S WESTERN AVENUE SUITE #132,LOS ANGELES,90006-1078,928 WESTERN 90006-1078,,,,722110,Full-service restaurants,10,01/18/2017,,POINT (-118.3087 34.0551)
0002963565-0001-2,JOURNEYMEN LLC,,3219 GLENDALE BLVD,LOS ANGELES,90039-1831,3219 GLENDALE 90039-1831,,,,722110,Full-service restaurants,13,02/09/2017,,POINT (-118.2609 34.1185)
0002963580-0001-7,FRANFREDO INC,RAMEN IZAKAYA,13727 VICTORY BLVD,VAN NUYS,91401-1401,13727 VICTORY 91401-1401,,,,722110,Full-service restaurants,2,02/09/2017,,POINT (-118.4322 34.1871)
0002963644-0001-9,SAVC LLC,,6377 HOLLYWOOD BLVD,LOS ANGELES,90028-6310,6377 HOLLYWOOD 90028-6310,9945 SHADOW HILLS DRIVE,SHADOW HILLS,91040-1516,722110,Full-service restaurants,13,04/01/2017,,POINT (-118.3291 34.1019)
0002963854-0001-9,SHABUSHI INC,,5185 W SUNSET BLVD,LOS ANGELES,90027-5715,5185 SUNSET 90027-5715,,,,722110,Full-service restaurants,13,02/10/2017,,POINT (-118.3029 34.0982)
0002964180-0001-1,YEPREM MOVSESIAN,SHAWARMA HOUSE,8515 FOOTHILL BLVD,SUNLAND,91040-1909,8515 FOOTHILL 91040-1909,,,,722110,Full-service restaurants,7,01/01/2017,,POINT (-118.3186 34.26)
0002964459-0001-6,SUSHI SOYOKAZE,SUSHI SAZANAMI,12918 RIVERSIDE DRIVE,SHERMAN OAKS,91423-2210,12918 RIVERSIDE 91423-2210,4023 MILACA PLACE,SHERMAN OAKS,91423-4422,722110,Full-service restaurants,4,04/15/2017,,POINT (-118.4145 34.1573)
0002964626-0001-8,LEMON FISH,,6095 W SUNSET BLVD,LOS ANGELES,90028-6434,6095 SUNSET 90028,6095 W SUNSET BLVD LOWER LEVEL,LOS ANGELES,90028-6434,722110,Full-service restaurants,13,03/01/2017,,POINT (-118.3222 34.0981)
0002964723-0001-2,GERMAN GASTRO MANAGEMENT INC,,345 N LA BREA AVENUE,LOS ANGELES,90036-2573,345 LA BREA 90036-2573,,,,722110,Full-service restaurants,5,12/28/2016,,POINT (-118.3444 34.0776)
0002964774-0001-5,PARADISE CUISINE & CATERING INC,THE GRILL SPOT,17334 VENTURA BLVD,ENCINO,91316-3904,17334 VENTURA 91316-3904,,,,722110,Full-service restaurants,4,02/14/2017,,POINT (-118.5113 34.1607)
0002964840-0001-4,FAYA G MARKET INC,BLAZIN CRAB,17237 VENTURA BLVD   SUITE #C,ENCINO,91316-4061,17237 VENTURA 91316-4061,3435 WILSHIRE BLVD   #1810,LOS ANGELES,90010-1901,722110,Full-service restaurants,4,02/09/2017,,POINT (-118.5084 34.1609)
0002965176-0001-2,MY 2 CENTS LA,,5583 W PICO BLVD,LOS ANGELES,90019-3920,5583 PICO 90019-3920,,,,722110,Full-service restaurants,10,11/04/2016,,POINT (-118.3598 34.0498)
0002965176-0002-1,MY 2 CENTS LA,,2352 S SEPULVEDA BLVD SUITE #212,LOS ANGELES,90064-1911,2352 SEPULVEDA 90064,5583 W PICO BLVD,LOS ANGELES,90019-3920,722110,Full-service restaurants,5,01/01/2024,,POINT (34.0377 34.0377)
0002965295-0001-3,KIFF KAFE LLC,,12229 W PICO BLVD,LOS ANGELES,90064-1134,12229 PICO 90064-1134,,,,722110,Full-service restaurants,11,02/13/2017,,POINT (-118.4521 34.0288)
0002965619-0001-5,KARNRAVEE CHAIPATJIRASIN / JARUTHAT VANICHYANUKROH,"JARUTHAT, INC. | KHUN DANG THAI CUISINE",13436 SHERMAN WAY,NORTH HOLLYWOOD,91605-4415,13436 SHERMAN 91605-4415,140 N PASS AVENUE APT #1,BURBANK,91505-4243,722110,Full-service restaurants,2,01/01/2017,,POINT (-118.4261 34.201)
0002966274-0001-9,DIONISIO DE LA CRUZ,LAS BRISAS # 1,132 N PACIFIC AVENUE,SAN PEDRO,90731-2038,132 PACIFIC 90731-2038,132 N PACIFIC AVENUE,SAN PEDRO,90731-2038,722110,Full-service restaurants,15,12/05/2016,,POINT (-118.2875 33.744)
0002966479-0002-6,ALBERT ARIAS AGUDELO,RINCONCITO COLOMBIANO,1614 1/2 W 6TH STREET,LOS ANGELES,90017-1081,1614 6TH 90017-1081,POST OFFICE BOX #17788,LOS ANGELES,90017-0788,722110,Full-service restaurants,1,03/10/2018,,POINT (-118.2694 34.057)
0002966626-0001-2,D & T SUH INC,JANG AN RESTAURANT,2773 W OLYMPIC BLVD,LOS ANGELES,90006-2632,2773 OLYMPIC 90006-2632,,,,722110,Full-service restaurants,10,02/21/2017,,POINT (-118.294 34.0529)
0002966671-0001-8,RAFIK BAZIKIAN,KABOB BOWL,3125 N SAN FERNANDO ROAD,LOS ANGELES,90065-1412,3125 SAN FERNANDO 90065-1412,,,,722110,Full-service restaurants,13,02/21/2017,,POINT (-118.2462 34.1153)
